iter	RMSE
0	14.44084482
1	13.5110899
2	12.64179097
3	11.88924674
4	11.16924684
5	10.62002577
6	10.08161327
7	9.643801432
8	9.211568498
9	8.76604515
10	8.37962031
11	8.072056219
12	7.796605427
13	7.522698931
14	7.254844818
15	7.036451237
16	6.847834633
17	6.663644368
18	6.51976593
19	6.400847389
20	6.277980986
21	6.168534184
22	6.073756582
23	5.982583719
24	5.880611293
25	5.802501171
26	5.734040565
27	5.681520393
28	5.637871569
29	5.586128509
30	5.533308244
31	5.488778324
32	5.452231338
33	5.415232426
34	5.375750523
35	5.338592395
36	5.310617622
37	5.279363412
38	5.255450052
39	5.235474967
40	5.210948734
41	5.19206156
42	5.175632756
43	5.16037941
44	5.14340221
45	5.126828989
46	5.098328534
47	5.083561574
48	5.065673441
49	5.051688036
50	5.036997544
51	5.023924388
52	5.022200294
53	5.002540072
54	4.988564096
55	4.978494834
56	4.969346682
57	4.955378282
58	4.938820731
59	4.918365856
60	4.895527561
61	4.885359988
62	4.870386461
63	4.857574006
64	4.850032666
65	4.83959494
66	4.828982975
67	4.813185328
68	4.798243707
69	4.780251001
70	4.773559631
71	4.764003591
72	4.749113638
73	4.739248887
74	4.726767396
75	4.720888394
76	4.714294339
77	4.710110823
78	4.700347365
79	4.690727669
80	4.690095714
81	4.685085337
82	4.678031474
83	4.663135143
84	4.654717312
85	4.65029721
86	4.640812163
87	4.633809128
88	4.628091668
89	4.614073545
90	4.611071345
91	4.599739615
92	4.593911729
93	4.588389762
94	4.580169461
95	4.574268705
96	4.557184762
97	4.551854106
98	4.541446891
99	4.535640895
