iter	Passed	Remaining
0	3	367
1	6	331
2	10	325
3	14	354
4	17	335
5	20	327
6	24	320
7	26	310
8	29	302
9	32	293
10	35	290
11	39	290
12	43	293
13	47	290
14	50	284
15	53	279
16	55	272
17	58	266
18	61	263
19	65	260
20	72	271
21	75	266
22	78	261
23	80	255
24	83	251
25	86	247
26	89	242
27	92	237
28	95	233
29	98	229
30	101	225
31	104	222
32	107	217
33	110	214
34	115	214
35	120	213
36	124	211
37	127	208
38	130	204
39	142	214
40	144	208
41	147	203
42	149	198
43	156	199
44	158	194
45	161	189
46	164	185
47	168	182
48	172	179
49	175	175
50	179	172
51	182	168
52	184	163
53	188	160
54	192	157
55	196	154
56	199	150
57	202	146
58	203	141
59	205	136
60	206	132
61	208	127
62	210	123
63	211	119
64	215	116
65	218	112
66	224	110
67	230	108
68	232	104
69	233	100
70	235	96
71	238	92
72	241	89
73	244	85
74	248	82
75	251	79
76	255	76
77	258	72
78	261	69
79	263	65
80	264	61
81	265	58
82	267	54
83	271	51
84	274	48
85	279	45
86	283	42
87	286	39
88	289	35
89	292	32
90	295	29
91	302	26
92	304	22
93	308	19
94	310	16
95	312	13
96	314	9
97	315	6
98	318	3
99	318	0
